Plugin ready.
 
 
Plugin starts processing: Tue Aug 04 10:23:41 2020

 
Volume: 	 1
ReadVolTime: 	 unknown
FullVolTime: 	 unknown + 105 ms

Volume: 	 2
ReadVolTime: 	 35 ms
FullVolTime: 	 192 ms

Volume: 	 3
ReadVolTime: 	 34 ms
FullVolTime: 	 117 ms

Volume: 	 4
ReadVolTime: 	 35 ms
FullVolTime: 	 146 ms

Volume: 	 5
ReadVolTime: 	 35 ms
FullVolTime: 	 145 ms

Volume: 	 6
ReadVolTime: 	 37 ms
FullVolTime: 	 235 ms

Volume: 	 7
ReadVolTime: 	 34 ms
FullVolTime: 	 140 ms

Volume: 	 8
ReadVolTime: 	 43 ms
FullVolTime: 	 173 ms

Volume: 	 9
ReadVolTime: 	 936 ms
FullVolTime: 	 1120 ms

Volume: 	 10
ReadVolTime: 	 755 ms
FullVolTime: 	 910 ms

Volume: 	 11
ReadVolTime: 	 836 ms
FullVolTime: 	 1013 ms

Volume: 	 12
ReadVolTime: 	 852 ms
FullVolTime: 	 1006 ms

Volume: 	 13
ReadVolTime: 	 834 ms
FullVolTime: 	 969 ms

Volume: 	 14
ReadVolTime: 	 841 ms
FullVolTime: 	 937 ms

Volume: 	 15
ReadVolTime: 	 936 ms
FullVolTime: 	 1016 ms

Volume: 	 16
ReadVolTime: 	 936 ms
FullVolTime: 	 1069 ms

Volume: 	 17
ReadVolTime: 	 836 ms
FullVolTime: 	 1027 ms

Volume: 	 18
ReadVolTime: 	 834 ms
FullVolTime: 	 926 ms

Volume: 	 19
ReadVolTime: 	 935 ms
FullVolTime: 	 1055 ms

Volume: 	 20
ReadVolTime: 	 840 ms
FullVolTime: 	 1043 ms

Volume: 	 21
ReadVolTime: 	 834 ms
FullVolTime: 	 1054 ms

Volume: 	 22
ReadVolTime: 	 740 ms
FullVolTime: 	 930 ms

Volume: 	 23
ReadVolTime: 	 835 ms
FullVolTime: 	 982 ms

Volume: 	 24
ReadVolTime: 	 835 ms
FullVolTime: 	 1042 ms

Volume: 	 25
ReadVolTime: 	 761 ms
FullVolTime: 	 879 ms

Volume: 	 26
ReadVolTime: 	 948 ms
FullVolTime: 	 1065 ms

Volume: 	 27
ReadVolTime: 	 850 ms
FullVolTime: 	 1009 ms

Volume: 	 28
ReadVolTime: 	 854 ms
FullVolTime: 	 1005 ms

Volume: 	 29
ReadVolTime: 	 846 ms
FullVolTime: 	 1055 ms

Volume: 	 30
ReadVolTime: 	 768 ms
FullVolTime: 	 993 ms

Volume: 	 31
ReadVolTime: 	 777 ms
FullVolTime: 	 1028 ms

Volume: 	 32
ReadVolTime: 	 746 ms
FullVolTime: 	 930 ms

Volume: 	 33
ReadVolTime: 	 855 ms
FullVolTime: 	 988 ms

Volume: 	 34
ReadVolTime: 	 927 ms
FullVolTime: 	 1082 ms

Volume: 	 35
ReadVolTime: 	 749 ms
FullVolTime: 	 864 ms

Volume: 	 36
ReadVolTime: 	 865 ms
FullVolTime: 	 1009 ms

Volume: 	 37
ReadVolTime: 	 861 ms
FullVolTime: 	 1022 ms

Volume: 	 38
ReadVolTime: 	 849 ms
FullVolTime: 	 960 ms

Volume: 	 39
ReadVolTime: 	 881 ms
FullVolTime: 	 1034 ms

Volume: 	 40
ReadVolTime: 	 854 ms
FullVolTime: 	 996 ms

Volume: 	 41
ReadVolTime: 	 863 ms
FullVolTime: 	 1176 ms

Volume: 	 42
ReadVolTime: 	 710 ms
FullVolTime: 	 880 ms

Volume: 	 43
ReadVolTime: 	 790 ms
FullVolTime: 	 1010 ms

Volume: 	 44
ReadVolTime: 	 789 ms
FullVolTime: 	 923 ms

Volume: 	 45
ReadVolTime: 	 865 ms
FullVolTime: 	 1090 ms

Volume: 	 46
ReadVolTime: 	 770 ms
FullVolTime: 	 935 ms

Volume: 	 47
ReadVolTime: 	 838 ms
FullVolTime: 	 1080 ms

Volume: 	 48
ReadVolTime: 	 794 ms
FullVolTime: 	 1067 ms

Volume: 	 49
ReadVolTime: 	 712 ms
FullVolTime: 	 909 ms

Volume: 	 50
ReadVolTime: 	 758 ms
FullVolTime: 	 945 ms

Volume: 	 51
ReadVolTime: 	 813 ms
FullVolTime: 	 1242 ms

Volume: 	 52
ReadVolTime: 	 604 ms
FullVolTime: 	 833 ms

Volume: 	 53
ReadVolTime: 	 767 ms
FullVolTime: 	 997 ms

Volume: 	 54
ReadVolTime: 	 764 ms
FullVolTime: 	 968 ms

Volume: 	 55
ReadVolTime: 	 788 ms
FullVolTime: 	 1033 ms

Volume: 	 56
ReadVolTime: 	 774 ms
FullVolTime: 	 919 ms

Volume: 	 57
ReadVolTime: 	 362 ms
FullVolTime: 	 495 ms

Volume: 	 58
ReadVolTime: 	 861 ms
FullVolTime: 	 1082 ms

Volume: 	 59
ReadVolTime: 	 770 ms
FullVolTime: 	 930 ms

Volume: 	 60
ReadVolTime: 	 888 ms
FullVolTime: 	 988 ms

Volume: 	 61
ReadVolTime: 	 860 ms
FullVolTime: 	 1330 ms

Volume: 	 62
ReadVolTime: 	 483 ms
