[0, 3.909478500019759]
[1, 4.761856400000397]
[2, 5.761249000031967]
[3, 6.761225000023842]
[4, 7.760685199988075]
[5, 8.76235740003176]
[6, 9.760526300000492]
[7, 10.760375800018664]
[8, 11.760323600028642]
[9, 12.760419500002172]
[10, 13.81269589997828]
[11, 14.761064600024838]
[12, 15.76111740001943]
[13, 16.761347300023772]
[14, 17.76085060002515]
[15, 18.761435099993832]
[16, 19.76132950000465]
[17, 20.763394100009464]
[18, 21.76218489999883]
[19, 22.760992700001225]
[20, 23.844917699985672]
[21, 24.76126679999288]
[22, 25.760752699978184]
[23, 26.8798726000241]
[24, 27.785178199992515]
[25, 28.785451999981888]
[26, 29.78903280000668]
[27, 30.785856100032106]
[28, 31.78664399997797]
[29, 32.7931258000317]
[30, 33.90242840000428]
[31, 34.7850820000167]
[32, 35.78529929998331]
[33, 36.78609609999694]
[34, 37.79497510002693]
[35, 38.786656600015704]
[36, 39.79617679998046]
[37, 40.78674670000328]
[38, 41.792235300003085]
[39, 42.79057529999409]
[40, 43.99064259999432]
[41, 44.78727660002187]
[42, 45.79020510002738]
[43, 46.78676149999956]
[44, 47.79553800000576]
[45, 48.7863393999869]
[46, 49.78928030002862]
[47, 50.7918062999961]
[48, 51.79004829999758]
[49, 52.791889899992384]
[50, 54.07557410001755]
[51, 54.79869199998211]
[52, 55.79181660001632]
[53, 56.79178480000701]
[54, 57.79176719998941]
[55, 58.796077899984084]
[56, 59.79044680000516]
[57, 60.79521609999938]
[58, 61.789257600030396]
[59, 62.790177799994126]
[60, 64.05388120003045]
[61, 64.78711500001373]
[62, 65.78725850000046]
[63, 66.78755230002571]
[64, 67.79633570002625]
[65, 68.79513809998753]
[66, 69.78937960002804]
[67, 70.78732020000461]
[68, 71.78736040001968]
[69, 72.79109770001378]
[70, 74.1188775000046]
[71, 74.79129989998182]
[72, 75.78842360002454]
[73, 76.79090740001993]
[74, 77.79974019998917]
[75, 78.78965310001513]
[76, 79.7951938000042]
[77, 80.79709910001839]
[78, 81.79689900000812]
[79, 82.79584570002044]
[80, 84.20610489998944]
[81, 84.78739690000657]
[82, 85.7892986999941]
[83, 86.78762820002157]
[84, 87.78757440001937]
[85, 88.7879222999909]
[86, 89.79430359997787]
[87, 90.7950237999903]
[88, 91.79502189997584]
[89, 92.79269640002167]
[90, 94.30536130000837]
[91, 94.79045440000482]
[92, 95.79134799999883]
[93, 96.79107430001022]
[94, 97.79313389997697]
[95, 98.79218829999445]
[96, 99.79169500002172]
[97, 100.78918329998851]
[98, 101.78922149998834]
[99, 102.78785899997456]
[100, 103.7923900000169]
[101, 104.78847420000238]
[102, 105.79275379999308]
[103, 106.78731540002627]
[104, 107.78894830000354]
[105, 108.78805179998744]
[106, 109.78865880001104]
[107, 110.79016560001764]
[108, 111.78949110000394]
[109, 112.79306709999219]
[110, 113.78790619998472]
[111, 114.7877768999897]
[112, 115.788973000017]
[113, 116.78844420000678]
[114, 117.80781700002262]
[115, 118.7903194000246]
[116, 119.79919890000019]
[117, 120.79190369998105]
[118, 121.79525429999921]
[119, 122.79476130002877]
[120, 123.78919330000645]
[121, 124.79020079999464]
[122, 125.78840369998943]
[123, 126.7869606000022]
[124, 127.78822460002266]
[125, 128.801390299981]
[126, 129.79195330000948]
[127, 130.78955990000395]
[128, 131.78629429999273]
[129, 132.78810090001207]
[130, 133.7887240999844]
[131, 134.78937940002652]
[132, 135.788131600013]
[133, 136.78876349999337]
[134, 137.78704949998064]
[135, 138.78958400001284]
[136, 139.7888907000306]
[137, 140.78854420001153]
[138, 141.78855870000552]
[139, 142.79012259998126]
[140, 143.7896537000197]
[141, 144.79093529999955]
[142, 145.78850020002574]
[143, 146.78827429999365]
[144, 147.79171610000776]
[145, 148.79050070000812]
[146, 149.7928880000254]
[147, 150.78839569998672]
[148, 151.7984565999941]
[149, 152.7914471999975]
[150, 153.7901510000229]
[151, 154.7886246999842]
[152, 155.79039450001437]
[153, 156.79006800003117]
[154, 157.8052870000247]
[155, 158.79021389997797]
[156, 159.7996519000153]
[157, 160.79733289999422]
[158, 161.79689270001836]
[159, 162.79898989998037]
[160, 163.7918965999852]
[161, 164.78855320002185]
[162, 165.78965849999804]
[163, 166.78991819999646]
[164, 167.78876770002535]
[165, 168.79106080002384]
[166, 169.7891840999946]
[167, 170.78814179997426]
[168, 171.78863269998692]
[169, 172.788572999998]
[170, 173.7888902000268]
[171, 174.78877990000183]
[172, 175.78814680001233]
[173, 176.7888048000168]
[174, 177.78839390003122]
[175, 178.79182019998552]
[176, 179.78812659997493]
[177, 180.78872940002475]
[178, 181.78858519997448]
[179, 182.7895201999927]
[180, 183.78939970000647]
[181, 184.78964239999186]
[182, 185.79101230000379]
[183, 186.78967209998518]
[184, 187.7903845999972]
[185, 188.79267450002953]
[186, 189.7976408000104]
[187, 190.7894197999849]
[188, 191.78878790000454]
[189, 192.79106830002274]
[190, 193.78923460002989]
[191, 194.78992940002354]
[192, 195.7874094999861]
[193, 196.78872309997678]
[194, 197.80357829999411]
[195, 198.79468659998383]
[196, 199.80049029999645]
[197, 200.79598200001055]
[198, 201.79665099998238]
[199, 202.79971980000846]
[200, 203.79179109999677]
[201, 204.78967060003197]
[202, 205.79187630000524]
[203, 206.7906435999903]
[204, 207.79065799998352]
[205, 208.79341420001583]
[206, 209.79169849999016]
[207, 210.79022710002027]
[208, 211.79040030000033]
[209, 212.7900463999831]
[210, 213.78993869997794]
[211, 214.78833020001184]
[212, 215.7899269000045]
[213, 216.7892496000277]
[214, 217.78956170001766]
[215, 218.7903424000251]
[216, 219.78910599998198]
[217, 220.7898506000056]
[218, 221.78904950001743]
[219, 222.79396260000067]
[220, 223.79029259999515]
[221, 224.79394280002452]
[222, 225.7911812000093]
[223, 226.78916099999333]
[224, 227.7900637999992]
[225, 228.78991900000256]
[226, 229.78803060000064]
[227, 230.788627300004]
[228, 231.78888619999634]
[229, 232.79303270002129]
[230, 233.7940460999962]
[231, 234.78996359999292]
[232, 235.78987239999697]
[233, 236.79070579999825]
[234, 237.80851130001247]
[235, 238.79670639999676]
[236, 239.79852329997811]
[237, 240.79637739999453]
[238, 241.7934548999765]
[239, 242.79970350000076]
[240, 243.79259770002682]
[241, 244.7898334999918]
[242, 245.7911595000187]
[243, 246.7899569000001]
[244, 247.79518249997636]
[245, 248.8006585999974]
[246, 249.79928259999724]
[247, 250.79066719999537]
[248, 251.789987199998]
[249, 252.79085629998008]
[250, 253.79181159997825]
[251, 254.7900404999964]
[252, 255.79131619998952]
[253, 256.7906753999996]
[254, 257.7894050999894]
[255, 258.7905711000203]
[256, 259.79022869997425]
[257, 260.7912827000255]
[258, 261.79235800000606]
[259, 262.7896441000048]
[260, 263.7899429000099]
[261, 264.7905083000078]
[262, 265.79256059997715]
[263, 266.78963670000667]
[264, 267.79183639999246]
[265, 268.79515100002754]
[266, 269.79379289998906]
[267, 270.7911319999839]
[268, 271.7917533]
[269, 272.79117380001117]
[270, 273.79421929997625]
[271, 274.7922189999954]
[272, 275.79092729999684]
[273, 276.7939868000103]
[274, 277.8067320000264]
[275, 278.7919931000215]
[276, 279.80160619999515]
[277, 280.796296000015]
[278, 281.80000729998574]
[279, 282.8033652000013]
[280, 283.79675219999626]
[281, 284.79182069998933]
[282, 285.79303070000606]
[283, 286.7913494000095]
[284, 287.7920761000132]
[285, 288.79139660001965]
[286, 289.79003440000815]
[287, 290.7954099000199]
[288, 291.7906362999929]
[289, 292.7921184999868]
[290, 293.79005950002465]
[291, 294.7893706000177]
[292, 295.7905146999983]
[293, 296.7937073999783]
[294, 297.790714200004]
[295, 298.7904812999768]
[296, 299.79016640002374]
[297, 300.79221929999767]
[298, 301.79072599997744]
[299, 302.78997069998877]
[300, 303.7891966000316]
[301, 304.7903553000069]
[302, 305.79142020002473]
[303, 306.79223590000765]
[304, 307.797985400015]
[305, 308.80378419999033]
[306, 309.79156789998524]
[307, 310.7890090000001]
[308, 311.78930379997473]
[309, 312.79794959997525]
[310, 313.79529660003027]
[311, 314.79167730000336]
[312, 315.7900346000097]
[313, 316.79099369997857]
[314, 317.8086400000029]
[315, 318.80289260001155]
[316, 319.80538769997656]
[317, 320.8011813000194]
[318, 321.7954587999848]
[319, 322.80659679998644]
[320, 323.79684050002834]
[321, 324.79302109999117]
[322, 325.80028899997706]
[323, 326.79594779998297]
[324, 327.79351689998293]
[325, 328.79031800001394]
[326, 329.79492620000383]
[327, 330.7920866999775]
[328, 331.79179370001657]
[329, 332.7904037000262]
[330, 333.79004140000325]
[331, 334.78960620000726]
[332, 335.79188249999424]
[333, 336.7919602000038]
[334, 337.79211660003057]
[335, 338.79084809997585]
[336, 339.7899152000318]
[337, 340.78956509998534]
[338, 341.7914102000068]
[339, 342.79153889999725]
[340, 343.7906387000112]
[341, 344.7909768000245]
[342, 345.791461899993]
[343, 346.79350179998437]
[344, 347.79239299998153]
[345, 348.7921677000122]
[346, 349.7922386000282]
[347, 350.7916391000035]
[348, 351.7962526999763]
[349, 352.793678099988]
[350, 353.7919060999993]
[351, 354.7966434999835]
[352, 355.791368199978]
[353, 356.7921425999957]
[354, 357.8063949000207]
[355, 358.79474839998875]
[356, 359.79862259997753]
[357, 360.8326595000108]
[358, 361.7928934000083]
[359, 362.8078236000147]
[360, 363.80100700003095]
[361, 364.79195029998664]
[362, 365.79543639998883]
[363, 366.7918822999927]
[364, 367.79690259997733]
[365, 368.8039243000094]
[366, 369.7928998999996]
[367, 370.79216810001526]
[368, 371.79209649999393]
[369, 372.79048070003046]
[370, 373.79123670002446]
[371, 374.7947464000317]
[372, 375.7915294999839]
[373, 376.79430599999614]
[374, 377.7928546000039]
[375, 378.79504050000105]
[376, 379.7927335000131]
[377, 380.7921410999843]
[378, 381.79151850001654]
[379, 382.7930054999888]
[380, 383.7921990000177]
[381, 384.79251950001344]
[382, 385.79103590000886]
[383, 386.79294249997474]
[384, 387.7933019999764]
[385, 388.7927172000054]
[386, 389.79388449998805]
[387, 390.7913191000116]
[388, 391.7914565000101]
[389, 392.795847899979]
[390, 393.79553160001524]
[391, 394.79147579998244]
[392, 395.7929540000041]
[393, 396.79457770002773]
[394, 397.8025507000275]
[395, 398.7987130000256]
[396, 399.80551759997616]
[397, 400.8053280999884]
[398, 401.7996551999822]
[399, 402.80659679998644]
[400, 403.795617100026]
[401, 404.791913699999]
[402, 405.79330880002817]
[403, 406.7921894000028]
[404, 407.7919653999852]
[405, 408.7932969999965]
[406, 409.7954331000219]
[407, 410.7932815999957]
[408, 411.79075179999927]
[409, 412.7915569000179]
[410, 413.7927994999918]
[411, 414.7953360999818]
[412, 415.79446040000767]
[413, 416.79422079998767]
[414, 417.7938653000165]
[415, 418.79989060002845]
[416, 419.79235469998093]
[417, 420.791747100011]
[418, 421.7923577000038]
[419, 422.79229900002247]
[420, 423.7921612000209]
[421, 424.79646219999995]
[422, 425.7933745000046]
[423, 426.7915386999957]
[424, 427.79536749998806]
[425, 428.8119194000028]
[426, 429.7949035000056]
[427, 430.79255130002275]
[428, 431.793144700001]
[429, 432.7927103000111]
